SEVERE	Java11	1572799661704
INFO	Java2	1572799661704
CONFIG	Java3	1572799661704
FINE	C#	1572799661704
FINEST	Java5	1572799661704
SEVERE	Java11	1572799713446
INFO	Java2	1572799713446
CONFIG	Java3	1572799713446
FINE	C#	1572799713446
FINEST	Java5	1572799713447
SEVERE	Java15	1572799720299
INFO	Java2	1572799720299
CONFIG	Java3	1572799720300
FINE	C#	1572799720300
FINEST	Java5	1572799720300
SEVERE	Java18	1572799725612
INFO	Java2	1572799725612
CONFIG	Java3	1572799725613
FINE	C#	1572799725613
FINEST	Java5	1572799725613
SEVERE	Java18	1572799777385
INFO	Java2	1572799777385
CONFIG	Java3	1572799777385
FINE	C#	1572799777385
FINEST	Java5	1572799777385
SEVERE	Java18	1572799780506
INFO	Java2	1572799780506
CONFIG	Java3	1572799780506
FINE	C#	1572799780506
FINEST	Java5	1572799780507
